px_no,identifier,group,direction,valence,event,code,internal,external,proportion
1001,Good,ANX,future,neg,e1,3,17,2,0.8947368421052632
1001,Good,ANX,future,neg,e2,2,NA,NA,NA
1001,Good,ANX,future,neutral,e1,3,14,3,0.8235294117647058
1001,Good,ANX,future,neutral,e2,2,NA,NA,NA
1001,Good,ANX,future,pos,e1,3,20,0,1
1001,Good,ANX,future,pos,e2,3,17,0,1
1001,Good,ANX,past,neg,e1,3,14,0,1
1001,Good,ANX,past,neg,e2,3,32,1,0.9696969696969697
1001,Good,ANX,past,neutral,e1,3,7,5,0.5833333333333334
1001,Good,ANX,past,neutral,e2,2,NA,NA,NA
1001,Good,ANX,past,pos,e1,3,23,0,1
1001,Good,ANX,past,pos,e2,3,15,0,1
1002,Good,CON,future,neg,e1,3,15,2,0.8823529411764706
1002,Good,CON,future,neg,e2,3,11,0,1
1002,Good,CON,future,neutral,e1,3,19,0,1
1002,Good,CON,future,neutral,e2,3,15,0,1
1002,Good,CON,future,pos,e1,3,15,1,0.9375
1002,Good,CON,future,pos,e2,3,19,0,1
1002,Good,CON,past,neg,e1,3,12,0,1
1002,Good,CON,past,neg,e2,3,21,0,1
1002,Good,CON,past,neutral,e1,3,11,2,0.8461538461538461
1002,Good,CON,past,neutral,e2,3,21,0,1
1002,Good,CON,past,pos,e1,2,NA,NA,NA
1002,Good,CON,past,pos,e2,3,19,0,1
1003,Good,ANX,future,neg,e1,3,22,0,1
1003,Good,ANX,future,neg,e2,3,10,3,0.7692307692307693
1003,Good,ANX,future,neutral,e1,3,16,0,1
1003,Good,ANX,future,neutral,e2,3,19,0,1
1003,Good,ANX,future,pos,e1,3,29,0,1
1003,Good,ANX,future,pos,e2,3,19,0,1
1003,Good,ANX,past,neg,e1,3,14,5,0.7368421052631579
1003,Good,ANX,past,neg,e2,3,14,0,1
1003,Good,ANX,past,neutral,e1,3,20,0,1
1003,Good,ANX,past,neutral,e2,3,12,4,0.75
1003,Good,ANX,past,pos,e1,3,13,1,0.9285714285714286
1003,Good,ANX,past,pos,e2,3,21,0,1
1004,Good,CON,future,neg,e1,3,20,0,1
1004,Good,CON,future,neg,e2,3,24,1,0.96
1004,Good,CON,future,neutral,e1,3,15,0,1
1004,Good,CON,future,neutral,e2,3,12,0,1
1004,Good,CON,future,pos,e1,3,15,0,1
1004,Good,CON,future,pos,e2,3,19,0,1
1004,Good,CON,past,neg,e1,3,34,2,0.9444444444444444
1004,Good,CON,past,neg,e2,3,23,0,1
1004,Good,CON,past,neutral,e1,3,14,3,0.8235294117647058
1004,Good,CON,past,neutral,e2,3,23,0,1
1004,Good,CON,past,pos,e1,3,19,0,1
1004,Good,CON,past,pos,e2,3,11,0,1
1006,Good,CON,future,neg,e1,3,48,0,1
1006,Good,CON,future,neg,e2,3,43,1,0.9772727272727273
1006,Good,CON,future,neutral,e1,3,27,0,1
1006,Good,CON,future,neutral,e2,3,26,2,0.9285714285714286
1006,Good,CON,future,pos,e1,3,47,1,0.9791666666666666
1006,Good,CON,future,pos,e2,3,40,0,1
1006,Good,CON,past,neg,e1,3,16,1,0.9411764705882353
1006,Good,CON,past,neg,e2,3,46,0,1
1006,Good,CON,past,neutral,e1,3,9,6,0.6
1006,Good,CON,past,neutral,e2,3,38,8,0.8260869565217391
1006,Good,CON,past,pos,e1,3,63,0,1
1006,Good,CON,past,pos,e2,3,57,1,0.9827586206896551
1007,Good,CON,future,neg,e1,2,NA,NA,NA
1007,Good,CON,future,neg,e2,3,15,0,1
1007,Good,CON,future,neutral,e1,3,16,0,1
1007,Good,CON,future,neutral,e2,3,16,1,0.9411764705882353
1007,Good,CON,future,pos,e1,3,7,4,0.6363636363636364
1007,Good,CON,future,pos,e2,3,23,0,1
1007,Good,CON,past,neg,e1,3,12,2,0.8571428571428571
1007,Good,CON,past,neg,e2,3,17,1,0.9444444444444444
1007,Good,CON,past,neutral,e1,3,6,5,0.5454545454545454
1007,Good,CON,past,neutral,e2,3,21,0,1
1007,Good,CON,past,pos,e1,3,16,0,1
1007,Good,CON,past,pos,e2,3,18,0,1
1008,Good,CON,future,neg,e1,3,33,0,1
1008,Good,CON,future,neg,e2,3,28,0,1
1008,Good,CON,future,neutral,e1,3,18,2,0.9
1008,Good,CON,future,neutral,e2,3,14,1,0.9333333333333333
1008,Good,CON,future,pos,e1,3,17,2,0.8947368421052632
1008,Good,CON,future,pos,e2,3,19,0,1
1008,Good,CON,past,neg,e1,3,49,1,0.98
1008,Good,CON,past,neg,e2,3,28,0,1
1008,Good,CON,past,neutral,e1,3,40,0,1
1008,Good,CON,past,neutral,e2,3,29,0,1
1008,Good,CON,past,pos,e1,3,22,0,1
1008,Good,CON,past,pos,e2,3,22,5,0.8148148148148148
1009,Good,CON,future,neg,e1,3,16,0,1
1009,Good,CON,future,neg,e2,3,12,0,1
1009,Good,CON,future,neutral,e1,3,13,1,0.9285714285714286
1009,Good,CON,future,neutral,e2,3,12,1,0.9230769230769231
1009,Good,CON,future,pos,e1,3,5,3,0.625
1009,Good,CON,future,pos,e2,3,10,0,1
1009,Good,CON,past,neg,e1,3,15,0,1
1009,Good,CON,past,neg,e2,3,9,0,1
1009,Good,CON,past,neutral,e1,3,23,0,1
1009,Good,CON,past,neutral,e2,3,24,0,1
1009,Good,CON,past,pos,e1,3,13,0,1
1009,Good,CON,past,pos,e2,3,15,0,1
1014,Good,ANX,future,neg,e1,3,60,0,1
1014,Good,ANX,future,neg,e2,3,39,0,1
1014,Good,ANX,future,neutral,e1,3,38,0,1
1014,Good,ANX,future,neutral,e2,3,28,0,1
1014,Good,ANX,future,pos,e1,3,25,0,1
1014,Good,ANX,future,pos,e2,3,24,0,1
1014,Good,ANX,past,neg,e1,3,56,1,0.9824561403508771
1014,Good,ANX,past,neg,e2,3,31,0,1
1014,Good,ANX,past,neutral,e1,3,34,0,1
1014,Good,ANX,past,neutral,e2,3,69,0,1
1014,Good,ANX,past,pos,e1,3,17,1,0.9444444444444444
1014,Good,ANX,past,pos,e2,3,25,0,1
1016,Good,CON,future,neg,e1,3,12,0,1
1016,Good,CON,future,neg,e2,2,NA,NA,NA
1016,Good,CON,future,neutral,e1,3,17,0,1
1016,Good,CON,future,neutral,e2,3,16,0,1
1016,Good,CON,future,pos,e1,3,14,0,1
1016,Good,CON,future,pos,e2,3,21,0,1
1016,Good,CON,past,neg,e1,3,15,1,0.9375
1016,Good,CON,past,neg,e2,3,18,0,1
1016,Good,CON,past,neutral,e1,3,12,1,0.9230769230769231
1016,Good,CON,past,neutral,e2,3,18,0,1
1016,Good,CON,past,pos,e1,3,13,0,1
1016,Good,CON,past,pos,e2,3,10,1,0.9090909090909091
1017,Good,ANX,future,neg,e1,3,13,0,1
1017,Good,ANX,future,neg,e2,3,17,0,1
1017,Good,ANX,future,neutral,e1,3,16,0,1
1017,Good,ANX,future,neutral,e2,3,21,0,1
1017,Good,ANX,future,pos,e1,1,NA,NA,NA
1017,Good,ANX,future,pos,e2,3,13,0,1
1017,Good,ANX,past,neg,e1,3,34,0,1
1017,Good,ANX,past,neg,e2,3,29,1,0.9666666666666667
1017,Good,ANX,past,neutral,e1,3,31,0,1
1017,Good,ANX,past,neutral,e2,3,52,1,0.9811320754716981
1017,Good,ANX,past,pos,e1,3,25,0,1
1017,Good,ANX,past,pos,e2,3,22,0,1
1018,Good,CON,future,neg,e1,3,31,0,1
1018,Good,CON,future,neg,e2,3,12,0,1
1018,Good,CON,future,neutral,e1,3,22,0,1
1018,Good,CON,future,neutral,e2,3,22,0,1
1018,Good,CON,future,pos,e1,3,26,0,1
1018,Good,CON,future,pos,e2,3,15,0,1
1018,Good,CON,past,neg,e1,3,31,0,1
1018,Good,CON,past,neg,e2,3,31,0,1
1018,Good,CON,past,neutral,e1,3,16,2,0.8888888888888888
1018,Good,CON,past,neutral,e2,3,30,0,1
1018,Good,CON,past,pos,e1,3,12,3,0.8
1018,Good,CON,past,pos,e2,3,31,0,1
1021J,Good,CON,future,neg,e1,3,16,0,1
1021J,Good,CON,future,neg,e2,3,14,0,1
1021J,Good,CON,future,neutral,e1,3,21,0,1
1021J,Good,CON,future,neutral,e2,3,15,0,1
1021J,Good,CON,future,pos,e1,3,14,0,1
1021J,Good,CON,future,pos,e2,3,5,2,0.7142857142857143
1021J,Good,CON,past,neg,e1,3,25,0,1
1021J,Good,CON,past,neg,e2,3,17,0,1
1021J,Good,CON,past,neutral,e1,3,9,0,1
1021J,Good,CON,past,neutral,e2,3,15,0,1
1021J,Good,CON,past,pos,e1,3,5,3,0.625
1021J,Good,CON,past,pos,e2,2,NA,NA,NA
1021S,Good,CON,future,neg,e1,3,23,0,1
1021S,Good,CON,future,neg,e2,3,23,0,1
1021S,Good,CON,future,neutral,e1,3,40,0,1
1021S,Good,CON,future,neutral,e2,3,22,1,0.9565217391304348
1021S,Good,CON,future,pos,e1,3,8,2,0.8
1021S,Good,CON,future,pos,e2,3,20,0,1
1021S,Good,CON,past,neg,e1,3,27,2,0.9310344827586207
1021S,Good,CON,past,neg,e2,3,24,0,1
1021S,Good,CON,past,neutral,e1,3,25,2,0.9259259259259259
1021S,Good,CON,past,neutral,e2,3,25,0,1
1021S,Good,CON,past,pos,e1,3,32,0,1
1021S,Good,CON,past,pos,e2,3,17,0,1
1022,Good,CON,future,neg,e1,3,13,1,0.9285714285714286
1022,Good,CON,future,neg,e2,3,15,0,1
1022,Good,CON,future,neutral,e1,3,26,0,1
1022,Good,CON,future,neutral,e2,3,18,1,0.9473684210526315
1022,Good,CON,future,pos,e1,3,14,0,1
1022,Good,CON,future,pos,e2,3,15,0,1
1022,Good,CON,past,neg,e1,3,21,0,1
1022,Good,CON,past,neg,e2,3,19,0,1
1022,Good,CON,past,neutral,e1,3,21,0,1
1022,Good,CON,past,neutral,e2,3,13,0,1
1022,Good,CON,past,pos,e1,3,12,1,0.9230769230769231
1022,Good,CON,past,pos,e2,3,24,0,1
1023,Good,ANX,future,neg,e1,NA,NA,NA,NA
1023,Good,ANX,future,neg,e2,3,18,4,0.8181818181818182
1023,Good,ANX,future,neutral,e1,3,12,6,0.6666666666666666
1023,Good,ANX,future,neutral,e2,3,16,3,0.8421052631578947
1023,Good,ANX,future,pos,e1,3,18,0,1
1023,Good,ANX,future,pos,e2,3,17,1,0.9444444444444444
1023,Good,ANX,past,neg,e1,3,21,0,1
1023,Good,ANX,past,neg,e2,3,32,4,0.8888888888888888
1023,Good,ANX,past,neutral,e1,3,13,2,0.8666666666666667
1023,Good,ANX,past,neutral,e2,3,12,8,0.6
1023,Good,ANX,past,pos,e1,3,19,6,0.76
1023,Good,ANX,past,pos,e2,NA,NA,NA,NA
1024A,Good,ANX,future,neg,e1,3,19,2,0.9047619047619048
1024A,Good,ANX,future,neg,e2,2,NA,NA,NA
1024A,Good,ANX,future,neutral,e1,3,10,0,1
1024A,Good,ANX,future,neutral,e2,3,21,0,1
1024A,Good,ANX,future,pos,e1,3,13,0,1
1024A,Good,ANX,future,pos,e2,3,8,4,0.6666666666666666
1024A,Good,ANX,past,neg,e1,3,10,1,0.9090909090909091
1024A,Good,ANX,past,neg,e2,3,17,0,1
1024A,Good,ANX,past,neutral,e1,3,18,0,1
1024A,Good,ANX,past,neutral,e2,3,7,3,0.7
1024A,Good,ANX,past,pos,e1,3,12,0,1
1024A,Good,ANX,past,pos,e2,3,19,1,0.95
1025,Good,CON,future,neg,e1,3,20,0,1
1025,Good,CON,future,neg,e2,3,7,3,0.7
1025,Good,CON,future,neutral,e1,3,13,4,0.7647058823529411
1025,Good,CON,future,neutral,e2,3,14,3,0.8235294117647058
1025,Good,CON,future,pos,e1,3,17,2,0.8947368421052632
1025,Good,CON,future,pos,e2,3,15,2,0.8823529411764706
1025,Good,CON,past,neg,e1,3,21,0,1
1025,Good,CON,past,neg,e2,3,19,1,0.95
1025,Good,CON,past,neutral,e1,3,41,0,1
1025,Good,CON,past,neutral,e2,3,35,0,1
1025,Good,CON,past,pos,e1,2,NA,NA,NA
1025,Good,CON,past,pos,e2,2,NA,NA,NA
1026,Good,ANX,future,neg,e1,2,NA,NA,NA
1026,Good,ANX,future,neg,e2,NA,NA,NA,NA
1026,Good,ANX,future,neutral,e1,2,NA,NA,NA
1026,Good,ANX,future,neutral,e2,2,NA,NA,NA
1026,Good,ANX,future,pos,e1,2,NA,NA,NA
1026,Good,ANX,future,pos,e2,2,NA,NA,NA
1026,Good,ANX,past,neg,e1,3,10,5,0.6666666666666666
1026,Good,ANX,past,neg,e2,2,NA,NA,NA
1026,Good,ANX,past,neutral,e1,3,10,2,0.8333333333333334
1026,Good,ANX,past,neutral,e2,2,NA,NA,NA
1026,Good,ANX,past,pos,e1,3,8,2,0.8
1026,Good,ANX,past,pos,e2,2,NA,NA,NA
1028,Good,ANX,future,neg,e1,3,10,0,1
1028,Good,ANX,future,neg,e2,3,6,4,0.6
1028,Good,ANX,future,neutral,e1,3,16,0,1
1028,Good,ANX,future,neutral,e2,3,8,2,0.8
1028,Good,ANX,future,pos,e1,3,11,0,1
1028,Good,ANX,future,pos,e2,3,12,0,1
1028,Good,ANX,past,neg,e1,1,NA,NA,NA
1028,Good,ANX,past,neg,e2,3,7,5,0.5833333333333334
1028,Good,ANX,past,neutral,e1,2,NA,NA,NA
1028,Good,ANX,past,neutral,e2,2,NA,NA,NA
1028,Good,ANX,past,pos,e1,2,NA,NA,NA
1028,Good,ANX,past,pos,e2,3,16,0,1
1029,Good,ANX,future,neg,e1,3,30,0,1
1029,Good,ANX,future,neg,e2,3,27,1,0.9642857142857143
1029,Good,ANX,future,neutral,e1,3,33,3,0.9166666666666666
1029,Good,ANX,future,neutral,e2,2,NA,NA,NA
1029,Good,ANX,future,pos,e1,3,36,0,1
1029,Good,ANX,future,pos,e2,3,22,4,0.8461538461538461
1029,Good,ANX,past,neg,e1,3,60,3,0.9523809523809523
1029,Good,ANX,past,neg,e2,3,15,25,0.375
1029,Good,ANX,past,neutral,e1,3,30,9,0.7692307692307693
1029,Good,ANX,past,neutral,e2,3,34,4,0.8947368421052632
1029,Good,ANX,past,pos,e1,3,29,5,0.8529411764705882
1029,Good,ANX,past,pos,e2,3,16,5,0.7619047619047619
1115,Good,CON,future,neg,e1,3,12,0,1
1115,Good,CON,future,neg,e2,3,16,0,1
1115,Good,CON,future,neutral,e1,3,16,0,1
1115,Good,CON,future,neutral,e2,3,17,0,1
1115,Good,CON,future,pos,e1,2,NA,NA,NA
1115,Good,CON,future,pos,e2,3,14,0,1
1115,Good,CON,past,neg,e1,3,27,0,1
1115,Good,CON,past,neg,e2,3,16,0,1
1115,Good,CON,past,neutral,e1,3,34,3,0.918918918918919
1115,Good,CON,past,neutral,e2,3,21,0,1
1115,Good,CON,past,pos,e1,3,15,0,1
1115,Good,CON,past,pos,e2,3,17,0,1
4000,Good,CON,future,neg,e1,3,13,1,0.9285714285714286
4000,Good,CON,future,neg,e2,3,20,0,1
4000,Good,CON,future,neutral,e1,3,22,5,0.8148148148148148
4000,Good,CON,future,neutral,e2,3,18,0,1
4000,Good,CON,future,pos,e1,3,15,0,1
4000,Good,CON,future,pos,e2,1,NA,NA,NA
4000,Good,CON,past,neg,e1,3,10,0,1
4000,Good,CON,past,neg,e2,3,10,0,1
4000,Good,CON,past,neutral,e1,3,22,0,1
4000,Good,CON,past,neutral,e2,3,23,0,1
4000,Good,CON,past,pos,e1,3,11,0,1
4000,Good,CON,past,pos,e2,3,12,0,1
4001,Good,ANX,future,neg,e1,3,12,17,0.41379310344827586
4001,Good,ANX,future,neg,e2,2,NA,NA,NA
4001,Good,ANX,future,neutral,e1,3,14,12,0.5384615384615384
4001,Good,ANX,future,neutral,e2,3,31,1,0.96875
4001,Good,ANX,future,pos,e1,3,38,0,1
4001,Good,ANX,future,pos,e2,3,29,0,1
4001,Good,ANX,past,neg,e1,3,34,9,0.7906976744186046
4001,Good,ANX,past,neg,e2,3,33,1,0.9705882352941176
4001,Good,ANX,past,neutral,e1,3,30,0,1
4001,Good,ANX,past,neutral,e2,3,38,3,0.926829268292683
4001,Good,ANX,past,pos,e1,3,28,10,0.7368421052631579
4001,Good,ANX,past,pos,e2,3,37,0,1
4002,Good,ANX,future,neg,e1,3,34,2,0.9444444444444444
4002,Good,ANX,future,neg,e2,NA,NA,NA,NA
4002,Good,ANX,future,neutral,e1,3,22,6,0.7857142857142857
4002,Good,ANX,future,neutral,e2,3,32,0,1
4002,Good,ANX,future,pos,e1,3,40,1,0.975609756097561
4002,Good,ANX,future,pos,e2,NA,NA,NA,NA
4002,Good,ANX,past,neg,e1,2,NA,NA,NA
4002,Good,ANX,past,neg,e2,NA,NA,NA,NA
4002,Good,ANX,past,neutral,e1,3,26,1,0.9629629629629629
4002,Good,ANX,past,neutral,e2,3,36,2,0.9473684210526315
4002,Good,ANX,past,pos,e1,3,40,0,1
4002,Good,ANX,past,pos,e2,3,42,2,0.9545454545454546
4003,Good,CON,future,neg,e1,3,35,6,0.8536585365853658
4003,Good,CON,future,neg,e2,3,33,0,1
4003,Good,CON,future,neutral,e1,3,26,1,0.9629629629629629
4003,Good,CON,future,neutral,e2,3,47,0,1
4003,Good,CON,future,pos,e1,3,27,4,0.8709677419354839
4003,Good,CON,future,pos,e2,3,26,3,0.896551724137931
4003,Good,CON,past,neg,e1,3,25,8,0.7575757575757576
4003,Good,CON,past,neg,e2,3,23,9,0.71875
4003,Good,CON,past,neutral,e1,3,50,0,1
4003,Good,CON,past,neutral,e2,3,40,5,0.8888888888888888
4003,Good,CON,past,pos,e1,3,21,9,0.7
4003,Good,CON,past,pos,e2,3,39,6,0.8666666666666667
4004,Good,CON,future,neg,e1,3,20,0,1
4004,Good,CON,future,neg,e2,1,NA,NA,NA
4004,Good,CON,future,neutral,e1,3,23,3,0.8846153846153846
4004,Good,CON,future,neutral,e2,3,38,0,1
4004,Good,CON,future,pos,e1,3,15,1,0.9375
4004,Good,CON,future,pos,e2,1,NA,NA,NA
4004,Good,CON,past,neg,e1,3,15,2,0.8823529411764706
4004,Good,CON,past,neg,e2,3,18,0,1
4004,Good,CON,past,neutral,e1,3,13,0,1
4004,Good,CON,past,neutral,e2,3,27,1,0.9642857142857143
4004,Good,CON,past,pos,e1,3,13,0,1
4004,Good,CON,past,pos,e2,3,15,0,1
4005,Good,ANX,future,neg,e1,2,NA,NA,NA
4005,Good,ANX,future,neg,e2,2,NA,NA,NA
4005,Good,ANX,future,neutral,e1,1,NA,NA,NA
4005,Good,ANX,future,neutral,e2,3,16,2,0.8888888888888888
4005,Good,ANX,future,pos,e1,2,NA,NA,NA
4005,Good,ANX,future,pos,e2,3,13,1,0.9285714285714286
4005,Good,ANX,past,neg,e1,3,12,10,0.5454545454545454
4005,Good,ANX,past,neg,e2,3,10,5,0.6666666666666666
4005,Good,ANX,past,neutral,e1,3,15,7,0.6818181818181818
4005,Good,ANX,past,neutral,e2,1,NA,NA,NA
4005,Good,ANX,past,pos,e1,1,NA,NA,NA
4005,Good,ANX,past,pos,e2,3,15,17,0.46875
4006,Good,CON,future,neg,e1,3,21,3,0.875
4006,Good,CON,future,neg,e2,3,15,3,0.8333333333333334
4006,Good,CON,future,neutral,e1,3,19,7,0.7307692307692307
4006,Good,CON,future,neutral,e2,3,33,6,0.8461538461538461
4006,Good,CON,future,pos,e1,1,NA,NA,NA
4006,Good,CON,future,pos,e2,3,21,5,0.8076923076923077
4006,Good,CON,past,neg,e1,3,37,1,0.9736842105263158
4006,Good,CON,past,neg,e2,3,32,2,0.9411764705882353
4006,Good,CON,past,neutral,e1,3,29,14,0.6744186046511628
4006,Good,CON,past,neutral,e2,3,26,14,0.65
4006,Good,CON,past,pos,e1,3,23,11,0.6764705882352942
4006,Good,CON,past,pos,e2,3,41,3,0.9318181818181818
4007,Good,CON,future,neg,e1,3,12,4,0.75
4007,Good,CON,future,neg,e2,2,NA,NA,NA
4007,Good,CON,future,neutral,e1,3,16,0,1
4007,Good,CON,future,neutral,e2,3,7,14,0.3333333333333333
4007,Good,CON,future,pos,e1,3,18,1,0.9473684210526315
4007,Good,CON,future,pos,e2,2,NA,NA,NA
4007,Good,CON,past,neg,e1,3,32,0,1
4007,Good,CON,past,neg,e2,1,NA,NA,NA
4007,Good,CON,past,neutral,e1,3,16,0,1
4007,Good,CON,past,neutral,e2,3,21,0,1
4007,Good,CON,past,pos,e1,3,17,0,1
4007,Good,CON,past,pos,e2,3,30,0,1
4008,Good,ANX,future,neg,e1,3,12,2,0.8571428571428571
4008,Good,ANX,future,neg,e2,3,20,0,1
4008,Good,ANX,future,neutral,e1,2,NA,NA,NA
4008,Good,ANX,future,neutral,e2,3,32,2,0.9411764705882353
4008,Good,ANX,future,pos,e1,3,31,0,1
4008,Good,ANX,future,pos,e2,3,26,6,0.8125
4008,Good,ANX,past,neg,e1,3,16,0,1
4008,Good,ANX,past,neg,e2,3,31,0,1
4008,Good,ANX,past,neutral,e1,3,14,10,0.5833333333333334
4008,Good,ANX,past,neutral,e2,3,19,4,0.8260869565217391
4008,Good,ANX,past,pos,e1,3,27,5,0.84375
4008,Good,ANX,past,pos,e2,3,32,0,1
4009,Good,CON,future,neg,e1,1,NA,NA,NA
4009,Good,CON,future,neg,e2,3,10,5,0.6666666666666666
4009,Good,CON,future,neutral,e1,3,10,8,0.5555555555555556
4009,Good,CON,future,neutral,e2,1,NA,NA,NA
4009,Good,CON,future,pos,e1,2,NA,NA,NA
4009,Good,CON,future,pos,e2,2,NA,NA,NA
4009,Good,CON,past,neg,e1,3,14,9,0.6086956521739131
4009,Good,CON,past,neg,e2,3,43,6,0.8775510204081632
4009,Good,CON,past,neutral,e1,2,NA,NA,NA
4009,Good,CON,past,neutral,e2,3,17,4,0.8095238095238095
4009,Good,CON,past,pos,e1,1,NA,NA,NA
4009,Good,CON,past,pos,e2,1,NA,NA,NA
4010,Good,ANX,future,neg,e1,3,3,4,0.42857142857142855
4010,Good,ANX,future,neg,e2,3,7,4,0.6363636363636364
4010,Good,ANX,future,neutral,e1,3,9,1,0.9
4010,Good,ANX,future,neutral,e2,3,14,0,1
4010,Good,ANX,future,pos,e1,3,17,2,0.8947368421052632
4010,Good,ANX,future,pos,e2,1,NA,NA,NA
4010,Good,ANX,past,neg,e1,3,26,0,1
4010,Good,ANX,past,neg,e2,3,19,2,0.9047619047619048
4010,Good,ANX,past,neutral,e1,3,10,7,0.5882352941176471
4010,Good,ANX,past,neutral,e2,3,13,10,0.5652173913043478
4010,Good,ANX,past,pos,e1,3,14,5,0.7368421052631579
4010,Good,ANX,past,pos,e2,3,26,2,0.9285714285714286
4011,Good,CON,future,neg,e1,2,NA,NA,NA
4011,Good,CON,future,neg,e2,1,NA,NA,NA
4011,Good,CON,future,neutral,e1,3,7,1,0.875
4011,Good,CON,future,neutral,e2,3,10,2,0.8333333333333334
4011,Good,CON,future,pos,e1,1,NA,NA,NA
4011,Good,CON,future,pos,e2,3,12,1,0.9230769230769231
4011,Good,CON,past,neg,e1,2,NA,NA,NA
4011,Good,CON,past,neg,e2,3,10,0,1
4011,Good,CON,past,neutral,e1,1,NA,NA,NA
4011,Good,CON,past,neutral,e2,1,NA,NA,NA
4011,Good,CON,past,pos,e1,3,7,6,0.5384615384615384
4011,Good,CON,past,pos,e2,3,15,0,1
